City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,chengde,40.9725,117.9361,18.98,71,51,0.29,CN,1691263553
245,hopelchen,19.7667,-89.85,39.18,24,14,2.13,MX,1691263553
246,punta del este,-34.9667,-54.95,19.06,85,0,5.81,UY,1691263290
247,cururupu,-1.8283,-44.8683,29.89,61,76,3.19,BR,1691263553
248,karpenisi,38.9167,21.7833,17.23,92,27,2.66,GR,1691263553
249,aykhal,66.0,111.5,10.4,66,24,7.12,RU,1691263554
250,tavda,58.0425,65.2726,17.54,94,12,1.16,RU,1691263554
251,colby,39.3958,-101.0524,30.46,55,0,3.6,US,1691263364
252,sault ste. marie,46.5168,-84.3333,24.9,41,0,2.06,CA,1691263529
253,thames,-37.1333,175.5333,6.38,94,9,1.43,NZ,1691263554
254,newman,37.3138,-121.0208,33.36,19,0,2.14,US,1691263545
255,belmonte,-15.8631,-38.8828,24.85,58,0,3.12,BR,1691263554
256,grand gaube,-20.0064,57.6608,22.43,69,1,4.47,MU,1691263554
257,upata,8.0086,-62.3989,31.22,56,100,2.25,VE,1691263555
258,weno,7.4515,151.8468,24.97,94,100,2.06,FM,1691263307
259,mata-utu,-13.2816,-176.1745,27.8,74,100,5.16,WF,1691263555
260,horta,38.5333,-28.6333,23.34,79,75,3.09,PT,1691263555
261,cerano,20.1167,-101.3833,24.87,45,82,0.88,MX,1691263555
262,cam pha mines,21.0167,107.3,25.58,89,99,4.24,VN,1691263555
263,grand island,40.925,-98.342,29.97,51,0,2.57,US,1691263328
264,argo,37.6333,22.7333,32.1,50,0,2.47,GR,1691263555
265,mount pearl,47.5166,-52.7813,20.47,72,75,6.17,CA,1691263556
266,east london,-33.0153,27.9116,20.27,44,0,4.08,ZA,1691263556
267,crescent city,41.756,-124.2018,22.08,85,100,3.09,US,1691263556
268,sinabang,2.4803,96.3801,26.88,85,100,1.88,ID,1691263556
269,kerben,40.2951,72.1863,26.28,24,45,3.03,KG,1691263556
270,lata,40.1629,-8.3327,23.37,37,0,1.92,PT,1691263556
271,kailua-kona,19.6406,-155.9956,27.5,74,40,3.6,US,1691263504
272,al hawatah,13.4167,34.6333,24.94,75,100,6.07,SD,1691263556
273,ardestan,33.3761,52.3694,30.59,14,0,3.33,IR,1691263557
274,pacific grove,36.6177,-121.9166,25.36,86,20,4.02,US,1691263557
275,kroya,-7.6331,109.2461,24.07,87,100,1.81,ID,1691263557
276,babayevo,59.3936,35.9371,17.67,72,100,1.33,RU,1691263557
277,dehloran,32.6941,47.2679,37.53,13,0,4.28,IR,1691263557
278,novaya igirma,57.1334,103.9112,6.87,93,0,1.01,RU,1691263557
279,zavodoukovsk,56.5042,66.5515,19.16,84,54,1.66,RU,1691263557
280,sittwe,20.15,92.9,27.41,85,78,5.93,MM,1691263363
281,calvinia,-31.4707,19.776,15.22,41,48,1.65,ZA,1691263558
282,churapcha,62.0025,132.4325,14.21,67,100,1.37,RU,1691263558
283,nema,57.5067,50.5011,18.51,77,3,2.82,RU,1691263558
284,rahachow,53.0934,30.0495,23.27,70,0,3.57,BY,1691263558
285,nchelenge,-9.3451,28.734,20.69,52,0,1.86,ZM,1691263558
286,yoloten,37.2989,62.3597,31.86,22,0,4.59,TM,1691263558
287,san-pedro,4.7485,-6.6363,24.55,89,100,3.68,CI,1691263558
288,vernon,50.2581,-119.2691,29.61,23,100,1.03,CA,1691263559
289,codrington,-38.2667,141.9667,8.37,81,33,1.64,AU,1691263559
290,tindouf,27.6711,-8.1474,38.25,17,0,4.12,DZ,1691263458
291,palmas,-10.2128,-48.3603,34.93,31,40,3.6,BR,1691263559
292,trondheim,63.4305,10.3951,15.03,92,100,2.25,NO,1691263559
293,saint-pierre,-21.3393,55.4781,21.82,73,0,10.29,RE,1691263559
294,santa rosa de cabal,4.8681,-75.6214,27.79,52,40,2.57,CO,1691263559
295,mongo,12.1844,18.693,25.53,79,96,1.65,TD,1691263559
296,nuuk,64.1835,-51.7216,10.34,81,100,1.03,GL,1691263498
297,plettenberg bay,-34.0527,23.3716,18.04,54,77,1.45,ZA,1691263560
298,hanceville,34.0607,-86.7675,37.16,46,10,0.57,US,1691263560
299,tshabong,-26.05,22.45,14.75,28,3,3.94,BW,1691263560
300,amga,60.8953,131.9608,13.21,67,76,0.69,RU,1691263560
301,nouadhibou,20.931,-17.0347,23.99,69,0,10.8,MR,1691263387
302,moussoro,13.6408,16.4901,30.34,56,70,1.56,TD,1691263560
303,cananea,30.95,-110.3,37.45,17,0,0.59,MX,1691263560
304,praia,14.9215,-23.5087,29.3,61,0,6.17,CV,1691263561
305,qamdo,31.1667,97.2333,6.41,94,100,2.05,CN,1691263561
306,tanumah,27.1,44.1333,33.82,10,0,4.34,SA,1691263517
307,kayangel,8.0823,134.7173,27.52,77,100,3.42,PW,1691263561
308,rupert,42.6191,-113.6772,24.97,44,0,3.09,US,1691263473
309,skara,58.3866,13.4384,13.75,85,20,1.77,SE,1691263561
310,remire-montjoly,4.9167,-52.2667,32.02,66,0,5.66,GF,1691263418
311,haiku-pauwela,20.9219,-156.3051,27.32,62,20,8.75,US,1691263561
312,mhamid,29.82,-5.72,41.66,7,1,4.66,MA,1691263561
313,chibougamau,49.9168,-74.3659,22.79,38,40,7.2,CA,1691263562
314,oranjemund,-28.55,16.4333,13.09,82,31,2.48,NA,1691263562
315,fortaleza,-3.7227,-38.5247,29.07,58,0,6.17,BR,1691263562
316,pisco,-13.7,-76.2167,22.03,64,0,4.63,PE,1691263562
317,ballina,-28.8667,153.5667,10.99,88,74,2.23,AU,1691263562
318,umluj,25.0213,37.2685,31.88,50,6,3.14,SA,1691263562
319,charters towers,-20.1,146.2667,13.1,76,0,4.24,AU,1691263562
320,xucheng,20.35,110.1288,27.19,75,100,5.73,CN,1691263563
321,tyuratam,45.6507,63.3156,26.69,45,1,3.19,KZ,1691263563
322,fort bragg,35.139,-79.006,33.44,54,20,3.6,US,1691263563
323,pasuquin,18.3328,120.6177,27.97,89,100,6.69,PH,1691263563
324,callao,-12.0667,-77.15,23.16,60,0,5.66,PE,1691263333
325,ulsteinvik,62.3432,5.8487,13.51,78,100,2.24,NO,1691263563
326,canutama,-6.5339,-64.3831,36.32,30,100,1.36,BR,1691263563
327,beledweyne,4.7358,45.2036,27.34,58,39,10.38,SO,1691263564
328,sabalgarh,26.25,77.4,25.62,90,100,4.32,IN,1691263564
329,rawson,-43.3002,-65.1023,13.96,34,0,6.72,AR,1691263564
330,ubinskoye,55.3068,79.6802,18.35,64,96,3.92,RU,1691263564
331,arno,60.1167,18.6333,17.1,83,99,4.12,SE,1691263564
332,pontes e lacerda,-15.2261,-59.3353,37.8,17,6,0.22,BR,1691263383
333,coroata,-4.13,-44.1242,37.02,26,95,1.25,BR,1691263564
334,champerico,14.3,-91.9167,36.3,63,6,2.85,GT,1691263564
335,majene,-3.5403,118.9707,25.33,86,37,6.29,ID,1691263565
336,ban nong wua so,17.2675,103.2247,26.59,92,100,1.98,TH,1691263565
337,hadibu,12.65,54.0333,25.87,78,9,7.83,YE,1691263565
338,zhaodong,46.0833,125.9833,15.65,95,100,3.21,CN,1691263565
339,kerikeri,-35.2268,173.9474,8.28,93,38,1.29,NZ,1691263565
340,hasaki,35.7333,140.8333,26.84,90,0,4.87,JP,1691263565
341,kirensk,57.7853,108.1119,14.83,79,100,1.45,RU,1691263566
342,mili,6.0815,171.735,27.87,79,71,4.98,MH,1691263566
343,guaruja,-23.9931,-46.2564,25.92,26,0,2.06,BR,1691263566
344,fort st. john,56.2499,-120.8529,22.94,53,20,3.09,CA,1691263533
345,sidi merouane,36.5206,6.2611,24.71,55,0,2.9,DZ,1691263566
346,san pedro,14.35,121.0167,27.97,88,75,4.63,PH,1691263561
347,maragogi,-9.0122,-35.2225,25.46,78,24,3.86,BR,1691263420
348,bonthe,7.5264,-12.505,25.37,88,79,4.45,SL,1691263358
349,talara,-4.5772,-81.2719,28.42,57,0,8.37,PE,1691263567
350,alice springs,-23.7,133.8833,7.75,87,0,2.57,AU,1691263567
351,vallenar,-28.5708,-70.7581,18.66,40,0,3.3,CL,1691263567
352,nemuro,43.3236,145.575,14.69,97,100,3.03,JP,1691263567
353,verkhniy baskunchak,48.2256,46.7217,31.39,29,0,2.83,RU,1691263567
354,zhanaozen,43.3,52.8,31.13,30,0,1.66,KZ,1691263567
355,tralee,52.2704,-9.7026,14.23,89,95,4.04,IE,1691263567
356,minas de marcona,-15.2119,-75.1103,17.78,58,7,3.92,PE,1691263354
357,inda silase,14.1031,38.2829,15.56,94,100,0.93,ET,1691263568
358,nova sintra,14.8667,-24.7167,22.72,79,5,6.92,CV,1691263335
359,sandnessjoen,66.0217,12.6316,13.29,71,76,1.25,NO,1691263568
360,dambulla,7.86,80.6517,24.57,82,100,3.63,LK,1691263568
361,savonlinna,61.8699,28.88,18.03,82,0,2.06,FI,1691263568
362,yerofey pavlovich,53.9667,121.9667,12.05,67,100,1.33,RU,1691263568
363,fale old settlement,-9.3852,-171.2468,28.05,77,33,6.31,TK,1691263305
